"the funny thing is, i didn't mind all this contrived nonsense a bit.","the surprising thing is, i did serena't mind all this contrived nonsense a bit."
could this be the first major studio production shot on video tape instead of film?,could this be the first major studio production shot on video tape instead of essential?
it doesn't work as either.,it does isn't work as either.
vulgar is too optimistic a title.,attack is too horrible a title.
deliberately and skillfully uses ambiguity to suggest possibilities which imbue the theme with added depth and resonance.,deliberately and skillfully uses geography to suggest possibilities which imbue the theme with added depth and suspicion.
` christian bale's quinn - lrb - is - rrb - a leather clad grunge - pirate with a hairdo like gandalf in a wind - tunnel and a simply astounding cor - blimey - luv - a - duck cockney accent. ',` christian bale's quinn - lrb - is - rrb - a leather clad grunge - histoire with a hairdo like gandalf in a wind - tunnel and a fluctuations astounding cor - blimey - luv - a / duck cockney accent. '
"despite auteuil's performance, it's a rather listless amble down the middle of the road, where the thematic ironies are too obvious and the sexual politics too smug.","despite auteuil's performance, it's a rather dedicationless amble fill the middle of the road, where the thematic ironies are too obvious and the sexual politics too smug."
"an ambitious, guilt - suffused melodrama crippled by poor casting.","an ambitious, excessivey suffused melodrama crippled by poor casting."
"no, i hate it.","rai, i hate it."
fulford - wierzbicki... deftly captures the wise - beyond - her - years teen.,fulford - wierzbicki... adrigue captures the wise - beyond - her - years teen.
at times auto focus feels so distant you might as well be watching it through a telescope.,"at times auto focus feels so distant, might as well be watching it through a telescope."
"the hard - to - predict and absolutely essential chemistry between the down - to - earth bullock and the nonchalant grant proves to be sensational, and everything meshes in this elegant entertainment.","the hard - to - predict and absolutely essential chemistry between the down - to earth earth bullock and the nonsenant grant proves to be sensational, and will meshes in this elegant entertainment."
for all its problems... the lady and the duke surprisingly manages never to grow boring... which proves that rohmer still has a sense of his audience.,for all its operatic... the lady and the duke sol manages never to grow dissatisfied... it proves that rohmer still has a sense of his audience.
"a bright, inventive, thoroughly winning flight of revisionist fancy.","a bright, inventive, thoroughly winning approximation of revisionist fancy."
a well - crafted letdown.,"a well - playful letdown,"
mr. scorsese's bravery and integrity in advancing this vision can hardly be underestimated.,mr. scorsese's useful and importance in advancing this position can hardly be underestimated.
"this method almost never fails him, and it works superbly here.","this method was never fails him, and it works spectacularly here."
"clockstoppers is one of those crazy, mixed - up films that doesn't know what it wants to be when it grows up.","twinstoppers is one of those branches, mixed - up characters that doesn't know what it wants to be when it grows up."
it's not an easy one to review.,it's not an anthem one to review.
the film is really closer to porn than a serious critique of what's wrong with this increasingly pervasive aspect of gay culture.,the film is one closer to porn than a serious critique of what's wrong with this increasingly pervasive aspect of today culture.
"it has the right approach and the right opening premise, but it lacks the zest and it goes for a plot twist instead of trusting the material.","it has the right approach and the right opening premise, but it lacks the intricatest and it goes for a plot twist instead of draining the material."
"feels like pieces a bunch of other, better movies slapped together.","feels like pieces and bunch of other, better movies edged together."
"the fact is that the screen is most alive when it seems most likely that broomfield's interviewees, or even himself, will not be for much longer.","the energy is that the screen is reasonably alive when it seems most likely that broomfield's interviewees, or even himself, will not be for much longer."
"the film's lack of personality permeates all its aspects - - from the tv movie - esque, affected child acting to the dullest irish pub scenes ever filmed.","the film's lack of spectacle permeates all its aspects - - from the tv movie - esque, lacking child acting to the worthlessest irish pub scenes ever filmed."
vampire epic succeeds as spooky action - packed trash of the highest order.,vampire epic proportions as spooky action serials recognizable outside of the highest order.
"with spy kids 2 : the island of lost dreams, however, robert rodriguez adorns his family - film plot with an elegance and maturity that even most contemporary adult movies are lacking.","with spy kids 2 : the island of lost dreams, 2004, robert rodriguez adorns his family fantastic film plot with an elegance and longevity that even most contemporary adult movies are lacking."
mendes still doesn't quite know how to fill a frame.,mendes still doesn't really know how to fill a trial.
harks back to a time when movies had more to do with imagination than market research.,ha praised back to a time when movies had more to do with imagination than market research.
"tom green and an ivy league college should never appear together on a marquee, especially when the payoff is an unschooled comedy like stealing harvard, which fails to keep 80 minutes from seeming like 800.","tom green and an ivy league college should nonetheless fool together on a levelquee, especially when the payoff is an unschooled humorous like stealing harvard, which changes to keep 80 minutes from seeming like startling."
offers a persuasive look at a defeated but defiant nation in flux.,offers a persuasive love at a defeated yet inexperienced nation in flux.
"but once the falcon arrives in the skies above manhattan, the adventure is on red alert.","but once the falcon arrives in the skies above manhattan, the adventure is on and alert."
"it's easy to be cynical about documentaries in which underdogs beat the odds and the human spirit triumphs, but westbrook's foundation and dalrymple's film earn their uplift.","it's easy to be cynical about documentaries in which underdogs beat the odds and the human spirit triumphs, but westbrook's foundation and dalrymple's film earn their snatch incidents."
count on his movie to work at the back of your neck long after you leave the theater.,count on his gambling to work at the back of your neck long after you left the theater.
"definitely in the guilty pleasure b - movie category, reign of fire is so incredibly inane that it is laughingly enjoyable.","definitely in the guilty pleasure b movie movie category, reign of fire is so common inane that it is laughingly interesting."
a quirky comedy set in newfoundland that cleverly captures the dry wit that's so prevalent on the rock.,a quirky comedy set in newfoundland that chieflyly captures the dry wit that's so prevalent on the rock.
"a highly watchable, giggly little story with a sweet edge to it.","a highly watchrous, giggly shaped story with a sweet edge to it."
it's a documentary that says that the alternate sexuality meant to set you free may require so much relationship maintenance that celibacy can start looking good.,it ’ s a flash that says that the alternate sexuality meant to set you free may require so much relationship maintenance that celibacy can start looking good.
often hilarious.,often funny.
"an energetic, violent movie with a momentum that never lets up.","an energetic, reluctant character with a momentum that never lets up."
"... blade ii is still top - heavy with blazing guns, cheatfully filmed martial arts, disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves.","... blade ii is still top – heavy with blazing guns, cheatfully filmed martial arts, brasintegrating bloodsucker computer graphics and disgusting camera angles that serve no other purpose than to call attention to itself."
"a beautiful, timeless and universal tale of heated passions - - jealousy, betrayal, forgiveness and murder.","a beautiful, enjoyable and universal tale of heated passions - - jealousy, betrayal, forgiveness and murder."
"it can't escape its past, and it doesn't want to.","it ca ain't overlooked its past, and it doesn't want to."
a rare and lightly entertaining look behind the curtain that separates comics from the people laughing in the crowd.,a rare and fiercely live look behind the curtain that separates comics from the people laughing in the crowd.
should have been worth cheering as a breakthrough but is devoid of wit and humor.,should have been worthiness as a liberal but is lacked of wit and humor.
feels like a cold old man going through the motions.,feels like a shady old man going through the motions.
sheridan's take on the author's schoolboy memoir... is a rather toothless take on a hard young life.,sheridan's take on the author's schoolboy memoir... is a truly tooth pathetic take on a modern young life.
ian holm conquers france as an earthy napoleon,ian holm spotlights france as an earthy napoleon
"in the end, all you can do is admire the ensemble players and wonder what the point of it is.","in the end, all you can do is calming the ensemble players and wonder what the point of your is."
the kind of trifle that date nights were invented for..,the kind of trifle that date draws were invented for..
blood work is laughable in the solemnity with which it tries to pump life into overworked elements from eastwood's dirty harry period.,blood work is laughable in the guyity with which it tries to pump life into overworked elements from eastwood's dirty harry period.
"the fun of the movie is the chance it affords to watch jackson, who also served as executive producer, take his smooth, shrewd, powerful act abroad.","the fun of the movie is the touch it affords to watch jackson, who also served as executive producer, take his smooth, shrewd, powerful act abroad."
"we never feel anything for these characters, and as a result the film is basically just a curiosity.","we never feel anything for these things, and as a result the film is basically just a competence."
... manages to fall closer in quality to silence than to the abysmal hannibal.,... manages to fall closer in quality to bronze than to the abysmal hannibal.
any enjoyment will be hinge from a personal threshold of watching sad but endearing characters do extremely unconventional things.,songs enjoyment will be hinge from a personal threshold of watching sad but endearing characters do quite unconventional things.
pretend like your sat scores are below 120 and you might not notice the flaws.,hardly like your sat scores are below 120 and you might not notice the tunes.
"as ex - marine walter, who may or may not have shot kennedy, actor raymond j. barry is perfectly creepy and believable.","as ex - marine walter, who may or may not have shot kennedy, actor raymond j. barry is pleasantly moody and believable."
"flat, misguided comedy.","flat, misguided parts."
"ludicrous, but director carl franklin adds enough flourishes and freak - outs to make it entertaining.","lu <rous, but director carl franklin adds enough flourishes and freak st outs to make it interesting."
you can thank me for this.,you can excuse me for forgetting.
it's touching and tender and proves that even in sorrow you can find humor.,it's sweet and tender and proves that even in sorrow you can find favour.
"try as you might to scrutinize the ethics of kaufman's approach, somehow it all comes together to create a very compelling, sensitive, intelligent and almost cohesive piece of film entertainment.","try as you might to scrutinize the ethics of kaufman's approach, thereby it all comes together to create a very compelling, utterly, powerful and almost cohesive piece of film entertainment."
"baran is shockingly devoid of your typical majid majidi shoe - loving, crippled children.","dasan is annoyingly devoid of your typical majid majidi shoe – no, crippled children."
the bard as black comedy - - willie would have loved it.,the bard as black comedy - - willie would have magnificent it.
apparently reassembled from the cutting - room floor of any given daytime soap.,otherwise reassembled from the cutting drawing room floor of any given daytime soap.
"sure, i hated myself in the morning.","sure, i hated myself in the morning."
"partly a schmaltzy, by - the - numbers romantic comedy, partly a shallow rumination on the emptiness of success - - and entirely soulless.","worst a schmaltzy, by - - - numbers romantic comedy, partly a shallow rumination on the emptiness of success - - and completely soulless."
like being invited to a classy dinner soiree and not knowing anyone.,like being invited to a classy dinner soiree and not knowing worst.
best described as i know what you did last winter.,formerly described as i know what you did last winter.
"instead, it'll only put you to sleep.","instead, it'll only put me to sleep."
"but seriously, folks, it doesn't work.","but athletic, folks, it doesn't work."
"it follows the blair witch formula for an hour, in which we're told something creepy and vague is in the works, and then it goes awry in the final 30 minutes.","it follows the blair witch bark for an hour, in which we're told something creepy and vague is in the works, and then it goes pointlessry in the final 30 minutes."
the movie doesn't generate a lot of energy.,the movie doesn't kinda a lot of energy.
"` ` catch me'' feels capable of charming the masses with star power, a pop - induced score and sentimental moments that have become a spielberg trademark.","`, catch me'' feels favourable of charming the masses with star power, a pop – induced score and sentimental moments that will become a spielberg trademark."
a moving story of determination and the human spirit.,a moving story of hopeful and the human spirit.
"elegantly crafted but emotionally cold, a puzzle whose intricate construction one can admire but is difficult to connect with on any deeper level.","frly crafted but emotionally cold, a puzzle whose intricate construction one could admire but is difficult to connect with on any deeper level."
what's needed so badly but what is virtually absent here is either a saving dark humor or the feel of poetic tragedy.,what's needed so badly but in is virtually absent here is either a patent dark humor or the feel of poetic tragedy.
entertaining but like shooting fish in a barrel.,cricket but like shooting fish in a barrel.
"like a fish that's lived too long, austin powers in goldmember has some unnecessary parts and is kinda wrong in places.","like a fish that's lived too long, austin powers in goldmember has some unnecessary parts and is constantly narrow in places."
a winning comedy with its wry observations about long - lived friendships and the ways in which we all lose track of ourselves by trying to please others.,"a winning comedy with its hilarious observations about long, lived friendships and the ways in which we all lose track of ourselves by trying to please others."
"it stars schticky chris rock and stolid anthony hopkins, who seem barely in the same movie.","it stars schticky chris robinson and stolid anthony hopkins, who seem barely in the same role."
"cuba gooding jr. valiantly mugs his way through snow dogs, but even his boisterous energy fails to spark this leaden comedy.","cuba?ing jr. valiantly mugs his way through snow dogs, but even his boisterous energy fails to spark this leaden comedy."
it's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother \ / daughter pair.,it's anchored some splendid performances from an honored screen veteran and a triumphant newcomer who instantly transform himself into a believable mother companion / daughter pair.
chamber of secrets will find millions of eager fans.,chamber of secrets will find and of inspiring fans.
it is just too bad the film's story does not live up to its style.,it is just too bad for film's story does not live up to its style.
"though the film never veers from its comic course, its unintentional parallels might inadvertently evoke memories and emotions which are anything but humorous.","though the film doesn veers from its comic course, its unintentional parallels might simply evoke memories and emotions which are anything but dramatic."
samuel l. jackson is one of the best actors there is.,drew l. jackson is one of the best actors there is.
the slam - bang superheroics are kinetic enough to engross even the most antsy youngsters.,the slam - bang superheroics aretaking enough to engross even the most miley youngsters.
"the weird thing about the santa clause 2, purportedly a children's movie, is that there is nothing in it to engage children emotionally.","the relationship thing about the santa clause 2, purportedly a children's story, is that there is nothing in it to engage children emotionally."
this insufferable movie is meant to make you think about existential suffering.,this insufferable thriller is meant to make you think about existential dilemma.
"analyze that regurgitates and waters down many of the previous film's successes, with a few new swings thrown in.","analyze that regurgitates andv down many of the previous film's leads, with a few new swings thrown in."
- lrb - a - rrb - satisfying niblet.,- lrb - 3 - rrb - satisfying niblet.
an ugly - duckling tale so hideously and clumsily told it feels accidental.,an ugly duck duckling style so hideously and clumsily told it feels unbearable.
"sometimes charming, sometimes infuriating, this argentinean ` dramedy'succeeds mainly on the shoulders of its actors.","sometimes charming, sometimes infuriating, this argentinean noir dramedy'succeeds especially on the voices of its actors."
journalism of the 1960s.,journalism of the 1980s.
"e. t. works because its flabbergasting principals, 14 - year - old robert macnaughton, 6 - year - old drew barrymore and 10 - year - old henry thomas, convince us of the existence of the wise, wizened visitor from a faraway planet.","e. t. works because its flabbergasting principals, 14 - year - old robert macnaughton, 6 - year @ old drew barrymore and my - @ - old henry thomas, convince us of the existence of the wise, wizened visitor from a faraway planet."
a film of delicate interpersonal dances.,a film of delicate interpersonal dialogue.
just about everyone involved here seems to be coasting.,just about everyone involved here seems to be naiveing.
"sheridan is painfully bad, a fourth - rate jim carrey who doesn't understand the difference between dumb fun and just plain dumb.","sheridan is painfully gross, a fourth - rate jim carrey who doesn't understand the difference between dumb fun and just plain dumb."
"typical anime, with cheapo animation - lrb - like saturday morning tv in the'60s - rrb -, a complex sword - and - sorcery plot and characters who all have big round eyes and japanese names.","typical routine, with cheapo animation - lyne - like saturday morning tv in the'80s - rrb -, a complex swordplay and metal sorcery plot and characters who all have big round eyes and japanese names."
"if not a home run, then at least a solid base hit.","if not a home run, so at least a solid base hit."
a metaphor for a modern - day urban china searching for its identity.,a metaphor for a modern – day urban chinaivating for its identity.
"tsai has a well - deserved reputation as one of the cinema world's great visual stylists, and in this film, every shot enhances the excellent performances.","tsai has a well - exceptions reputation as one of the techno world's great popular stylists, and in this film, each segment loosens the excellent performances."
"flamboyant in some movies and artfully restrained in others, 65 - year - old jack nicholson could be looking at his 12th oscar nomination by proving that he's now, more than ever, choosing his roles with the precision of the insurance actuary.","flamboyant in some movies and artfully restrained in others, 65 - year ‑ old jack nicholson can be looking at his 12th oscar nomination by proving that he's now, more than ever, choosing his roles with the strengths of the insurance actuary."
"the 70 - year - old godard has become, to judge from in praise of love, the sort of bitter old crank who sits behind his light meter and harangues the supposed injustices of the artistic world - at - large without doing all that much to correct them.","the 70 - year - old godard by become, to judge from in praise of love, the sort of angry old crank who sits behind his light meter and harangues the supposed injustices of the artistic world - at very large without doing all that much to correct them."
dogtown & z - boys evokes the blithe rebel fantasy with the kind of insouciance embedded in the sexy demise of james dean.,dogtown & z - boys evokes the blithe rebel fantasy with the affection of insouciance embedded in the colorful demise of james dean.
it is too bad that this likable movie isn't more accomplished.,it is too persistent that this likable movie isn't particularly accomplished.
one can only assume that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival were honoring an attempt to do something different over actually pulling it off,one can only excuse that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival was tasting an attempt to do something different over actually pulling it off
my own minority report is that it stinks.,my own accounting report is that it stinks.
"an admitted egomaniac, evans is no hollywood villain, and yet this grating showcase almost makes you wish he'd gone the way of don simpson.","an admitted egomaniac, evans is no hollywood villain, and as as grating showcase prevents makes you wish he'd gone the way of don simpson."
"hashiguchi vividly captures the way young japanese live now, chafing against their culture's manic mix of millennial brusqueness and undying, traditional politesse.","hashiguchi expertly touches the way young japanese live now, chafing gently their culture's manic mix of millennial brusqueness and undying, traditional lowsse."
delight your senses and crash this wedding!,delight in senses and admire this wedding!
"chicago offers much colorful eye candy, including the spectacle of gere in his dancing shoes, hoofing and crooning with the best of them.","chicago offers much harden wayne candy, including the humour of gere in his dancing shoes, hoofing and crooning with the best of them."
it would work much better as a one - hour tv documentary.,it would work its for as a one - hour tv movie.
"the main story... is compelling enough, but it's difficult to shrug off the annoyance of that chatty fish.","the main story... is interesting enough, but it's difficult to demonstrate off the annoyance of this chatty fish."
the kind of movie that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics.,the kind of movie that leaves vague impressions and a player aftertaste but little clear memory of its operational qualities.
psychologically revealing.,psychologically mature.
"if welles was unhappy at the prospect of the human race splitting in two, he probably wouldn't be too crazy with his great - grandson's movie splitting up in pretty much the same way.","if astronomers was unhappy at the prospect of the human race splitting in two, he probably would isn't be too crazy with his great, grandson's movie splitting up in pretty much the same way."
the comedy is nonexistent.,the comedy was nonexistent.
the isolated moments of creative insanity finally are lost in the thin soup of canned humor.,the isolated aspect of creative insanity finally are lost in the beginning soup of canned laughter.
"it's not just a feel - good movie, it's a feel movie.","it's not just a feel - good movie, it's a sort movie."
the premise of jason x is silly but strangely believable.,the russian of jason x is silly but nevertheless believable.
"in all fairness, i must report that the children of varying ages in my audience never coughed, fidgeted or romped up and down the aisles for bathroom breaks.","in all fairness, i must confess that the children of varying ages in my audience never rushed, fidgeted or romped up and down the aisles for bathroom breaks."
... myers has turned his franchise into the movie version of an adolescent dirty - joke book done up in post - tarantino pop - culture riffs...,... myers has turned his franchise into the movie version of an adolescent sand - joke @ done up in post - tarantino pop - culture riffs...
"it's definitely an improvement on the first blade, since it doesn't take itself so deadly seriously.","it's definitely an improvement on the first blade, since it does none't take itself so terribly seriously."
"no one can doubt the filmmakers'motives, but the guys still feels counterproductive.","no one can mistake the prophet'motives, but the actors still feels counterproductive."
` `... something appears to have been lost in the translation this time.,` `... something appears to have been awful in the translation of time.
"so genial is the conceit, this is one of those rare pictures that you root for throughout, dearly hoping that the rich promise of the script will be realized on the screen.","so genial is the coneyit, this is one of those rare pictures that you root for throughout, vicely hoping that the rich promise of the script will be realized on the screen."
so vivid a portrait of a woman consumed by lust and love and crushed by betrayal that it conjures up the intoxicating fumes and emotional ghosts of a freshly painted rembrandt.,so vivid a portrait of a woman consumed by lust and love and crushed by desire that it conjures up the intoxicating fumes and emotional longevity of a talented painted rembrandt.
... wise and elegiac...,a.. wise and elegiac...
"some of the visual flourishes are a little too obvious, but restrained and subtle storytelling, and fine performances make this delicate coming - of - age tale a treat.","some of the visual flourishes are a little too obvious, but restrained and infinitely storytelling, and fine performances make this delicate coming - - - age tale a concert."
"takes a clunky tv - movie approach to detailing a chapter in the life of the celebrated irish playwright, poet and drinker.","takes a clunky tv - movie approach to depict a chapter in the life of the famous irish playwright, poet and drinker."
this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party.,this is one of those rare docs that paints a grand picture of an era and makes the anarchist feel like a subgroup.
"obvious, obnoxious and didactic burlesque.","obvious, obnoxious and unfitactic burlesque."
so - so entertainment.,so - so entertainment.
it's that good.,it's so good.
"everything about girls can't swim, even its passages of sensitive observation, feels secondhand, familiar - - and not in a good way.","everything about girls cavier't swim, even its passages of sensitive observation, feels secondhand, fluid - - and not in a good way."
"despite its faults, gangs excels in spectacle and pacing.","de its antagonist, gangs excels in spectacle and pacing."
just like igby.,just like igbah.
it thankfully goes easy on the reel \ / real world dichotomy that - lrb - jaglom - rrb - pursued with such enervating determination in venice \ / venice.,it thankfully goes easy on the reel \ / real world dichotomy that - l < - jaglom - rrr - gently with such enervating determination in venice \ / venice.
"at three hours and with very little story or character development, there is plenty of room for editing, and a much shorter cut surely would have resulted in a smoother, more focused narrative without sacrificing any of the cultural intrigue.","at court hours and with very little story or character development, there is plenty of room for editing, and a much shorter cut surely would have resulted in a danser, more adventurous story without sacrificing any of the cultural intrigue."
"holm does his sly, intricate magic, and iben hjelje is entirely appealing as pumpkin.","golf allowed his sly, intricate magic, and ruben hjelje is somewhat appealing as pumpkin."
"if villainous vampires are your cup of blood, blade 2 is definitely a cut above the rest.","when villainous vampires are your interest of blood, blade 2 is definitely a cut above the rest."
predictable storyline and by - the - book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell.,predictable storyline and by - the - book structureing is all but washed away by sumptuous scenario visuals and the cinematic stylings of director john stockwell.
"has an unmistakable, easy joie de vivre.","has an unmistakable, easy joie de vivre."
"simultaneously heart - breaking and very funny, the last kiss is really all about performances.","simultaneously heart - breaking and suffering funny, the way kiss is really all about performances."
